doc_id,gt_types,pred_main,pred_subs,pred_set,main_hit,exact_set_match,jaccard,missing_from_pred,extra_in_pred,gt_has_label,pred_has_label,source_file
0080,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0080.json
0082,정서학대,신체학대,정서학대,신체학대|정서학대,0,0,0.5,,신체학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0082.json
0083,,정서학대,,정서학대,0,0,0.0,,정서학대,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0083.json
0084,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0084.json
0086,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0086.json
0087,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0087.json
0088,신체학대,신체학대,정서학대,신체학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0088.json
0089,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0089.json
0090,정서학대,방임,신체학대|정서학대,방임|신체학대|정서학대,0,0,0.3333333333333333,,방임|신체학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0090.json
0091,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0091.json
0092,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0092.json
0093,정서학대,방임,정서학대,방임|정서학대,0,0,0.5,,방임,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0093.json
0094,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0094.json
0097,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0097.json
0098,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0098.json
0099,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0099.json
0100,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0100.json
0102,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0102.json
0103,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0103.json
0104,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0104.json
0105,,방임,성학대,방임|성학대,0,0,0.0,,방임|성학대,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0105.json
0107,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0107.json
0108,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0108.json
0112,성학대,성학대,정서학대,성학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0112.json
0114,,정서학대,방임,방임|정서학대,0,0,0.0,,방임|정서학대,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0114.json
0115,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0115.json
0116,,성학대,신체학대,성학대|신체학대,0,0,0.0,,성학대|신체학대,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0116.json
0117,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0117.json
0118,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0118.json
0119,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0119.json
0120,방임,방임,정서학대,방임|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0120.json
0121,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0121.json
0122,성학대,성학대,정서학대,성학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0122.json
0124,신체학대,신체학대,정서학대,신체학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0124.json
0126,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0126.json
0128,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0128.json
0129,성학대,성학대,방임|정서학대,방임|성학대|정서학대,1,0,0.3333333333333333,,방임|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0129.json
0130,정서학대,신체학대,정서학대,신체학대|정서학대,0,0,0.5,,신체학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0130.json
0132,방임,신체학대,방임,방임|신체학대,0,0,0.5,,신체학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0132.json
0133,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0133.json
0136,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0136.json
0137,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0137.json
0139,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0139.json
0140,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0140.json
0142,,방임,,방임,0,0,0.0,,방임,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0142.json
0143,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0143.json
0144,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0144.json
0145,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0145.json
0148,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0148.json
0149,방임,신체학대,방임|정서학대,방임|신체학대|정서학대,0,0,0.3333333333333333,,신체학대|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0149.json
0150,방임,방임,정서학대,방임|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0150.json
0151,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0151.json
0152,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0152.json
0153,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0153.json
0154,신체학대,신체학대,방임|정서학대,방임|신체학대|정서학대,1,0,0.3333333333333333,,방임|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0154.json
0155,신체학대,신체학대,방임|정서학대,방임|신체학대|정서학대,1,0,0.3333333333333333,,방임|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0155.json
0156,,방임,,방임,0,0,0.0,,방임,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0156.json
0157,방임,신체학대,방임|신체학대,방임|신체학대,0,0,0.5,,신체학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0157.json
0158,성학대,성학대,정서학대,성학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0158.json
0159,,정서학대,,정서학대,0,0,0.0,,정서학대,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0159.json
0160,,정서학대,,정서학대,0,0,0.0,,정서학대,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0160.json
0163,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0163.json
0164,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0164.json
0165,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0165.json
0166,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0166.json
0167,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0167.json
0168,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0168.json
0169,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0169.json
0171,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0171.json
0173,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0173.json
0176,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0176.json
0177,,신체학대,방임|정서학대,방임|신체학대|정서학대,0,0,0.0,,방임|신체학대|정서학대,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0177.json
0178,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0178.json
0179,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0179.json
0180,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0180.json
0181,신체학대,신체학대,정서학대,신체학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0181.json
0182,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0182.json
0184,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0184.json
0185,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0185.json
0186,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0186.json
0187,,정서학대,,정서학대,0,0,0.0,,정서학대,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0187.json
0188,성학대,성학대,정서학대,성학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0188.json
0189,신체학대,신체학대,방임|정서학대,방임|신체학대|정서학대,1,0,0.3333333333333333,,방임|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0189.json
0191,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0191.json
0192,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0192.json
0194,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0194.json
0195,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0195.json
0196,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0196.json
0197,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0197.json
0198,신체학대,신체학대,정서학대,신체학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0198.json
0199,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0199.json
0201,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0201.json
0202,방임,방임,,방임,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0202.json
0203,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0203.json
0209,신체학대,신체학대,정서학대,신체학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0209.json
0210,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0210.json
0212,신체학대,신체학대,정서학대,신체학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0212.json
0213,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0213.json
0214,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0214.json
0215,방임,방임,,방임,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0215.json
0216,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0216.json
0217,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0217.json
0218,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0218.json
0219,방임,방임,,방임,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0219.json
0220,방임,방임,정서학대,방임|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0220.json
0222,정서학대,정서학대,방임,방임|정서학대,1,0,0.5,,방임,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0222.json
0223,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0223.json
0224,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0224.json
0225,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0225.json
0226,방임,정서학대,방임,방임|정서학대,0,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0226.json
0227,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0227.json
0228,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0228.json
0229,정서학대,신체학대,정서학대,신체학대|정서학대,0,0,0.5,,신체학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0229.json
0231,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0231.json
0232,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0232.json
0233,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0233.json
0234,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0234.json
0235,방임,방임,신체학대|정서학대,방임|신체학대|정서학대,1,0,0.3333333333333333,,신체학대|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0235.json
0236,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0236.json
0237,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0237.json
0238,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0238.json
0240,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0240.json
0241,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0241.json
0242,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0242.json
0243,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0243.json
0244,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0244.json
0246,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0246.json
0247,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0247.json
0249,방임,방임,정서학대,방임|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0249.json
0250,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0250.json
0251,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0251.json
0253,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0253.json
0254,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0254.json
0255,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0255.json
0260,방임,방임,정서학대,방임|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0260.json
0261,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0261.json
0262,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0262.json
0263,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0263.json
0264,성학대,성학대,정서학대,성학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0264.json
0265,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0265.json
0266,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0266.json
0268,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0268.json
0269,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0269.json
0274,방임,방임,,방임,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0274.json
0275,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0275.json
0276,,방임,,방임,0,0,0.0,,방임,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0276.json
0277,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0277.json
0278,정서학대,방임,방임|신체학대|정서학대,방임|신체학대|정서학대,0,0,0.3333333333333333,,방임|신체학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0278.json
0279,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0279.json
0280,성학대,성학대,방임|신체학대|정서학대,방임|성학대|신체학대|정서학대,1,0,0.25,,방임|신체학대|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0280.json
0281,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0281.json
0282,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0282.json
0284,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0284.json
0286,방임,방임,방임,방임,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0286.json
0287,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0287.json
0289,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0289.json
0290,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0290.json
0291,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0291.json
0293,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0293.json
0295,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0295.json
0296,신체학대,신체학대,방임|정서학대,방임|신체학대|정서학대,1,0,0.3333333333333333,,방임|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0296.json
0297,정서학대,신체학대,정서학대,신체학대|정서학대,0,0,0.5,,신체학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0297.json
0301,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0301.json
0302,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0302.json
0303,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0303.json
0305,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0305.json
0306,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0306.json
0307,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0307.json
0309,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0309.json
0310,신체학대,신체학대,정서학대,신체학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0310.json
0311,신체학대,신체학대,방임|정서학대,방임|신체학대|정서학대,1,0,0.3333333333333333,,방임|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0311.json
0312,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0312.json
0313,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0313.json
0314,성학대,성학대,신체학대|정서학대,성학대|신체학대|정서학대,1,0,0.3333333333333333,,신체학대|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0314.json
0315,정서학대,정서학대,정서학대,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0315.json
0316,방임,정서학대,방임|정서학대,방임|정서학대,0,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0316.json
